,Title,Category,Author,Pub_date,Pub_time,Exerpt
0,Abou Lo: le nouvel ambassadeur du Sénégal au Congo,Actualité,Moustapha Dieye - ,2021-01-21,01:29:51+00:00,Dans la journée d'hier s'est tenu en visioconférence le conseil des ministres du 20 janvier 2021. Au cours de cette rencontre présidée par le...
1,Politique: Oumar Sarr fait rallier 4 de ses proches au ministère des Mines et de la Géologie,Politique,Sira Diop - ,2021-01-20,17:18:43+00:00,"Le ministre des Mines et de la Géologie Oumar Sarr, ancien bras droit de Me Abdoulaye Wade a, nommé aux postes les plus importants..."
2,Trafic de faux laisser-passer: Ce que les prévenus encourent…,Justice,Sira Diop - ,2021-01-19,13:31:20+00:00,"L'affaire du trafic des faux laisser-passer découvert lors de l'état d'urgence décrété durant la première vague du coronavirus, a été plaidée ce vendredi dernier...."
3,Pr Mary Teuw Niane : le Président Macky était très en colère quand ses photos ont été placardées le long de la corniche ouest de Dakar,Politique,Moustapha Dieye - ,2021-01-18,16:51:34+00:00,"Il y a moins de 2 mois, le ministre Mansour Faye émettait l’idée de rebaptiser l’Avenue Général de Gaulle au nom de Macky Sall...."
4,Conseil des ministres du 20 janvier 2021: les nouvelles nominations !,Actualité,Moustapha Dieye - ,2021-01-21,00:02:24+00:00,"Ce 20 janvier 2021, le Président de la République a tenu un conseil des ministres. Ce dernier s'est fait en visioconférence conformément aux exigences..."
5,Conseil des ministres du 20 janvier 2021: les nouvelles nominations !,Actualité,Moustapha Dieye - ,2021-01-21,00:02:24+00:00,"Ce 20 janvier 2021, le Président de la République a tenu un conseil des ministres. Ce dernier s'est fait en visioconférence conformément aux exigences..."
6,Abou Lo: le nouvel ambassadeur du Sénégal au Congo,Actualité,Moustapha Dieye - ,2021-01-21,01:29:51+00:00,Dans la journée d'hier s'est tenu en visioconférence le conseil des ministres du 20 janvier 2021. Au cours de cette rencontre présidée par le...
7,Coupe du Roi: Alcoyano s’offre le Real Madrid,Sport,Moustapha Dieye - ,2021-01-21,00:59:17+00:00,Il s'est produit un scénario invraisemblable dans la soirée d'hier à Alicante. Le Real Madrid a été battu dès les seizièmes de finale de...
8,Michael Owen tacle Mohamed Salah: “Il est trop égoïste…Il n’a jamais été trop passeur”,Sport,Sira Diop - ,2021-01-20,16:15:31+00:00,"Le jeu de Mohamed Salah n'est pas bien apprécié par Michael Owen. En effet, l'ancien attaquant des Reds reproche à l'Egyptien d'être trop égoïste..."
9,Chan 2020: des accusations de sorcellerie poussent la CAF à diligenter une enquête,Sport,Moustapha Dieye - ,2021-01-19,13:14:51+00:00,"Lors du match d'ouverture du Chan (Championnat d'Afrique des Nations) 2021, une supposée affaire de sorcellerie serait survenue dans la rencontre qui opposait le..."
10,Mercato: le PSG piste Lionel Messi,Sport,Moustapha Dieye - ,2021-01-19,12:41:20+00:00,"Au mercato de l'été 2020, Lionel Messi avait fait part à la direction de son club, de sa volonté de quitter le vaisseau catalan...."
11,Championnat d’Afrique des Nations: la regrettable absence du Sénégal à la compétition,Sport,Sira Diop - ,2021-01-19,11:10:21+00:00,Le Sénégal est absent pour la quatrième fois d'affilée à la compétition continentale réservée aux locales. En mission pour la Caf au Championnat d'Afrique...
12,Le fils parricide de feu Abdoul Aziz Sy Djamil passe sa première nuit en prison,Société,Sira Diop - ,2021-01-20,11:28:27+00:00,"L'affaire M. Sy, fils de feu Serigne Abdoul Aziz Sy Djamil semble froisser l'entendement des Sénégalais qui, tentent d'aborder le sujet avec prudence. Accusé..."
13,Disparition volontaire de Diary Sow: le consulat du Sénégal à Paris corrige les médias sénégalais !,Société,Moustapha Dieye - ,2021-01-19,14:23:15+00:00,"Depuis hier, l'information selon laquelle Diary Sow, l'étudiante sénégalaise disparue en France depuis le 4 janvier, aurait fugué, a été relayée par beaucoup de..."
14,Du FCFA à l’eco: “La France ne siégera plus au Conseil politique monétaire de la BCEAO”,Economie,Pape Amadou - ,2020-12-10,17:57:44+00:00,"L'accord de coopération monétaire conclu par Paris et les Etats de l'Union monétaire ouest-africaine le 21 décembre 2019, va être ratifié par la France..."
15,Cambriolage à Touba: Un policier devient le suspect n°1 !,Société,Sira Diop - ,2021-01-19,12:02:03+00:00,"Pour la énième fois dans les histoires scandaleuses, la Police sénégalaise fait encore parler d'elle. Pour cette fois, il s'agit d'un policier impliqué dans..."
16,UVS: les nouveaux bacheliers plongés dans un désarroi total,Société,Sira Diop - ,2021-01-19,10:33:25+00:00,Les nouveaux bacheliers orientés à l'Université Virtuelle du Sénégal sont sortis de leurs réserves pour se faire entendre par les autorités. Dans le désarroi...
17,Disparition de Diary Sow – Un aller simple sans retour: les 3 pistes à passer au crible,Contributions,Sira Diop - ,2021-01-15,14:36:02+00:00,"En France, près de 45 000 personnes disparaissent chaque année dont 35 000 mineurs. La plupart, rentrent d'eux-mêmes ou sont retrouvés en quelques heures..."
18,Faculté de Médecine de Dakar: Les étudiants exigent l’évacuation de leur camarade S.O.D et gèlent les cours !,Education,Pape Amadou - ,2020-12-31,13:53:26+00:00,"Les étudiants de la faculté de médecine, de pharmacie et d'odontologie (Fmpo) semblent décidés à obtenir gain de cause pour l'évacuation de leur camarade..."
19,Le monde de la culture en deuil: Cheikh Ngaïdo Ba n’est plus !,Nécrologie,Sira Diop - ,2021-01-18,08:33:47+00:00,"Une triste nouvelle est parvenue à la presse hier, dimanche. Le cinéaste Cheikh Ngaïdo Ba est décédé des suites de maladies à l'hôpital Principal..."
20,Coronavirus: Le Magal de Poroxane reporté par Serigne Mountakha Mbacké,Religion,Moustapha Dieye - ,2021-01-11,12:41:03+00:00,"Le Magal de Poroxane est un grand évènement religieux qui draine plusieurs milliers de fidèles chaque année à Poroxane. En ce début d'année 2021,..."
